subject,roi,eccentricity_range,eccentricity_mean,frequency_class,psf,side
0,0,"(22.5, 23.5)",23.0,3,0.2459501847605383,0
0,0,"(23.5, 24.5)",24.0,0,0.25,0
0,0,"(23.5, 24.5)",24.0,1,0.3333333333333333,0
0,0,"(23.5, 24.5)",24.0,2,0.35355339059327373,0
0,0,"(23.5, 24.5)",24.0,3,0.23570226039551587,0
0,0,"(24.5, 25.5)",25.0,0,0.24,0
0,0,"(24.5, 25.5)",25.0,1,0.24,0
0,0,"(24.5, 25.5)",25.0,2,0.3394112549695428,0
0,0,"(24.5, 25.5)",25.0,3,0.2262741699796952,0
0,1,"(1.5, 2.5)",2.0,0,16.0,0
0,1,"(1.5, 2.5)",2.0,1,3.0,0
0,1,"(1.5, 2.5)",2.0,2,7.7781745930520225,0
0,1,"(1.5, 2.5)",2.0,3,45.254833995939045,0
0,1,"(2.5, 3.5)",3.0,0,10.666666666666666,0
0,1,"(2.5, 3.5)",3.0,1,7.666666666666667,0
0,1,"(2.5, 3.5)",3.0,2,7.542472332656508,0
0,1,"(2.5, 3.5)",3.0,3,7.542472332656508,0
0,1,"(3.5, 4.5)",4.0,0,8.0,0
0,1,"(3.5, 4.5)",4.0,1,5.75,0
0,1,"(3.5, 4.5)",4.0,2,5.656854249492381,0
0,1,"(3.5, 4.5)",4.0,3,8.131727983645296,0
0,1,"(4.5, 5.5)",5.0,0,9.0,0
0,1,"(4.5, 5.5)",5.0,1,4.6,0
0,1,"(4.5, 5.5)",5.0,2,4.525483399593904,0
0,1,"(4.5, 5.5)",5.0,3,12.727922061357855,0
0,1,"(5.5, 6.5)",6.0,0,5.333333333333333,0
0,1,"(5.5, 6.5)",6.0,1,7.5,0
0,1,"(5.5, 6.5)",6.0,2,3.771236166328254,0
0,1,"(5.5, 6.5)",6.0,3,10.606601717798213,0
0,1,"(6.5, 7.5)",7.0,0,4.571428571428571,0
0,1,"(6.5, 7.5)",7.0,1,6.428571428571429,0
0,1,"(6.5, 7.5)",7.0,2,9.091372900969898,0
0,1,"(6.5, 7.5)",7.0,3,12.929952570268298,0
0,1,"(7.5, 8.5)",8.0,0,4.0,0
0,1,"(7.5, 8.5)",8.0,1,5.625,0
0,1,"(7.5, 8.5)",8.0,2,7.95495128834866,0
0,1,"(7.5, 8.5)",8.0,3,11.313708498984761,0
0,1,"(8.5, 9.5)",9.0,0,3.5555555555555554,0
0,1,"(8.5, 9.5)",9.0,1,5.0,0
0,1,"(8.5, 9.5)",9.0,2,7.0710678118654755,0
0,1,"(8.5, 9.5)",9.0,3,10.056629776875344,0
0,1,"(9.5, 10.5)",10.0,0,3.2,0
0,1,"(9.5, 10.5)",10.0,1,4.5,0
0,1,"(9.5, 10.5)",10.0,2,6.363961030678928,0
0,1,"(9.5, 10.5)",10.0,3,9.050966799187808,0
0,1,"(10.5, 11.5)",11.0,0,2.909090909090909,0
0,1,"(10.5, 11.5)",11.0,1,4.090909090909091,0
0,1,"(10.5, 11.5)",11.0,2,5.785419118799026,0
0,1,"(10.5, 11.5)",11.0,3,8.22815163562528,0
0,1,"(11.5, 12.5)",12.0,0,2.6666666666666665,0
0,1,"(11.5, 12.5)",12.0,1,3.75,0
0,1,"(11.5, 12.5)",12.0,2,5.303300858899107,0
0,1,"(11.5, 12.5)",12.0,3,7.542472332656508,0
0,1,"(12.5, 13.5)",13.0,0,2.4615384615384617,0
0,1,"(12.5, 13.5)",13.0,1,3.4615384615384617,0
0,1,"(12.5, 13.5)",13.0,2,4.8953546389837905,0
0,1,"(12.5, 13.5)",13.0,3,6.962282153221391,0
0,1,"(13.5, 14.5)",14.0,0,2.2857142857142856,0
0,1,"(13.5, 14.5)",14.0,1,3.2142857142857144,0
0,1,"(13.5, 14.5)",14.0,2,4.545686450484949,0
0,1,"(13.5, 14.5)",14.0,3,4.545686450484949,0
0,1,"(14.5, 15.5)",15.0,0,2.1333333333333333,0
0,1,"(14.5, 15.5)",15.0,1,1.5333333333333334,0
0,1,"(14.5, 15.5)",15.0,2,4.242640687119286,0
0,1,"(14.5, 15.5)",15.0,3,4.242640687119286,0
0,1,"(15.5, 16.5)",16.0,0,2.0,0
0,1,"(15.5, 16.5)",16.0,1,1.4375,0
0,1,"(15.5, 16.5)",16.0,2,3.97747564417433,0
0,1,"(15.5, 16.5)",16.0,3,3.97747564417433,0
0,1,"(16.5, 17.5)",17.0,0,1.8823529411764706,0
0,1,"(16.5, 17.5)",17.0,1,1.3529411764705883,0
0,1,"(16.5, 17.5)",17.0,2,3.7435064886346634,0
0,1,"(16.5, 17.5)",17.0,3,5.324098117169299,0
0,1,"(17.5, 18.5)",18.0,0,7.111111111111111,0
0,1,"(17.5, 18.5)",18.0,1,2.5,0
0,1,"(17.5, 18.5)",18.0,2,3.5355339059327378,0
0,1,"(17.5, 18.5)",18.0,3,5.028314888437672,0
0,1,"(18.5, 19.5)",19.0,0,6.7368421052631575,0
0,1,"(18.5, 19.5)",19.0,1,2.3684210526315788,0
0,1,"(18.5, 19.5)",19.0,2,3.349453174041541,0
0,1,"(18.5, 19.5)",19.0,3,4.763666736414637,0
0,1,"(19.5, 20.5)",20.0,0,1.6,0
0,1,"(19.5, 20.5)",20.0,1,2.25,0
0,1,"(19.5, 20.5)",20.0,2,3.181980515339464,0
0,1,"(19.5, 20.5)",20.0,3,4.525483399593904,0
0,1,"(20.5, 21.5)",21.0,0,1.5238095238095237,0
0,1,"(20.5, 21.5)",21.0,1,2.142857142857143,0
0,1,"(20.5, 21.5)",21.0,2,6.128258770283411,0
0,1,"(20.5, 21.5)",21.0,3,4.309984190089433,0
0,1,"(21.5, 22.5)",22.0,0,1.4545454545454546,0
0,1,"(21.5, 22.5)",22.0,1,2.0454545454545454,0
0,1,"(21.5, 22.5)",22.0,2,2.892709559399513,0
0,1,"(21.5, 22.5)",22.0,3,4.11407581781264,0
0,1,"(22.5, 23.5)",23.0,0,5.565217391304348,0
0,1,"(22.5, 23.5)",23.0,1,2.782608695652174,0
0,1,"(22.5, 23.5)",23.0,2,3.9352029561686126,0
0,1,"(22.5, 23.5)",23.0,3,3.9352029561686126,0
0,1,"(23.5, 24.5)",24.0,0,0.4583333333333333,0
0,1,"(23.5, 24.5)",24.0,1,1.875,0
0,1,"(23.5, 24.5)",24.0,2,3.771236166328254,0
0,1,"(23.5, 24.5)",24.0,3,5.362226423997985,0
0,2,"(1.5, 2.5)",2.0,0,5.5,0
0,2,"(1.5, 2.5)",2.0,1,5.5,0
0,2,"(1.5, 2.5)",2.0,2,7.7781745930520225,0
0,2,"(1.5, 2.5)",2.0,3,4.242640687119285,0
0,2,"(2.5, 3.5)",3.0,0,42.666666666666664,0
0,2,"(2.5, 3.5)",3.0,1,7.666666666666667,0
0,2,"(2.5, 3.5)",3.0,2,7.542472332656508,0
0,2,"(2.5, 3.5)",3.0,3,5.185449728701348,0
0,2,"(3.5, 4.5)",4.0,0,11.25,0
0,2,"(3.5, 4.5)",4.0,1,5.75,0
0,2,"(3.5, 4.5)",4.0,2,3.8890872965260113,0
0,2,"(3.5, 4.5)",4.0,3,3.8890872965260113,0
0,2,"(4.5, 5.5)",5.0,0,9.0,0
0,2,"(4.5, 5.5)",5.0,1,4.6,0
0,2,"(4.5, 5.5)",5.0,2,3.111269837220809,0
0,2,"(4.5, 5.5)",5.0,3,6.505382386916237,0
0,2,"(5.5, 6.5)",6.0,0,10.666666666666666,0
0,2,"(5.5, 6.5)",6.0,1,5.333333333333333,0
0,2,"(5.5, 6.5)",6.0,2,3.771236166328254,0
0,2,"(5.5, 6.5)",6.0,3,5.421151989096864,0
0,2,"(6.5, 7.5)",7.0,0,18.285714285714285,0
0,2,"(6.5, 7.5)",7.0,1,4.571428571428571,0
0,2,"(6.5, 7.5)",7.0,2,3.2324881425670746,0
0,2,"(6.5, 7.5)",7.0,3,4.6467017049401695,0
0,2,"(7.5, 8.5)",8.0,0,16.0,0
0,2,"(7.5, 8.5)",8.0,1,4.0,0
0,2,"(7.5, 8.5)",8.0,2,4.065863991822648,0
0,2,"(7.5, 8.5)",8.0,3,7.95495128834866,0
0,2,"(8.5, 9.5)",9.0,0,3.5555555555555554,0
0,2,"(8.5, 9.5)",9.0,1,3.5555555555555554,0
0,2,"(8.5, 9.5)",9.0,2,7.0710678118654755,0
0,2,"(8.5, 9.5)",9.0,3,3.614101326064576,0
0,2,"(9.5, 10.5)",10.0,0,3.2,0
0,2,"(9.5, 10.5)",10.0,1,3.2,0
0,2,"(9.5, 10.5)",10.0,2,6.363961030678928,0
0,2,"(9.5, 10.5)",10.0,3,3.2526911934581184,0
0,2,"(10.5, 11.5)",11.0,0,2.909090909090909,0
0,2,"(10.5, 11.5)",11.0,1,4.090909090909091,0
0,2,"(10.5, 11.5)",11.0,2,5.785419118799026,0
0,2,"(10.5, 11.5)",11.0,3,5.785419118799026,0
0,2,"(11.5, 12.5)",12.0,0,2.6666666666666665,0
0,2,"(11.5, 12.5)",12.0,1,2.6666666666666665,0
0,2,"(11.5, 12.5)",12.0,2,7.542472332656508,0
0,2,"(11.5, 12.5)",12.0,3,5.303300858899107,0
0,2,"(12.5, 13.5)",13.0,0,2.4615384615384617,0
0,2,"(12.5, 13.5)",13.0,1,3.4615384615384617,0
0,2,"(12.5, 13.5)",13.0,2,1.7405705383053478,0
0,2,"(12.5, 13.5)",13.0,3,4.8953546389837905,0
0,2,"(13.5, 14.5)",14.0,0,0.7857142857142857,0
0,2,"(13.5, 14.5)",14.0,1,1.6428571428571428,0
0,2,"(13.5, 14.5)",14.0,2,1.1111677990074318,0
0,2,"(13.5, 14.5)",14.0,3,4.545686450484949,0
0,2,"(14.5, 15.5)",15.0,0,0.7333333333333333,0
0,2,"(14.5, 15.5)",15.0,1,2.1333333333333333,0
0,2,"(14.5, 15.5)",15.0,2,1.0370899457402696,0
0,2,"(14.5, 15.5)",15.0,3,2.1684607956387456,0
0,2,"(15.5, 16.5)",16.0,0,0.6875,0
0,2,"(15.5, 16.5)",16.0,1,1.4375,0
0,2,"(15.5, 16.5)",16.0,2,0.9722718241315028,0
0,2,"(15.5, 16.5)",16.0,3,3.97747564417433,0
0,2,"(16.5, 17.5)",17.0,0,0.6470588235294118,0
0,2,"(16.5, 17.5)",17.0,1,1.3529411764705883,0
0,2,"(16.5, 17.5)",17.0,2,0.9150793638884732,0
0,2,"(16.5, 17.5)",17.0,3,3.7435064886346634,0
0,2,"(17.5, 18.5)",18.0,0,0.6111111111111112,0
0,2,"(17.5, 18.5)",18.0,1,1.7777777777777777,0
