subj,bands,freq,side,rois
7,13,0.6666666666666666,0,1
7,14,0.6432675209026769,0,1
7,1,2.0,1,1
7,2,1.5491933384829668,1,1
7,3,1.3093073414159542,1,1
7,4,3.7712361663282534,1,1
7,5,1.044465935734187,1,1
7,6,0.9607689228305228,1,1
7,7,0.8944271909999159,1,1
7,8,0.8401680504168059,1,1
7,9,0.7947194142390263,1,1
7,10,0.7559289460184544,1,1
7,11,0.7223151185146152,1,1
7,12,0.6928203230275509,1,1
7,13,0.6666666666666666,1,1
7,14,0.6432675209026769,1,1
8,1,2.0,0,1
8,2,1.5491933384829668,0,1
8,3,1.3093073414159542,0,1
8,4,2.260776661041756,0,1
8,5,2.412090756622109,0,1
8,6,2.2188007849009166,0,1
8,7,2.065591117977289,0,1
8,8,1.9402850002906638,0,1
8,9,1.8353258709644942,0,1
8,10,1.745743121887939,0,1
8,11,1.6681153124565982,0,1
8,12,1.8973665961010275,0,1
8,13,1.8257418583505538,0,1
8,14,1.7616606585441104,0,1
8,1,2.0,1,1
8,2,1.5491933384829668,1,1
8,3,1.5118578920369088,1,1
8,4,1.3333333333333333,1,1
8,5,3.411211461689767,1,1
8,6,1.3008872711759818,1,1
8,7,1.2110601416389966,1,1
8,8,1.137592917989042,1,1
8,9,1.0760551736979407,1,1
8,10,1.023532631438318,1,1
8,11,1.4142135623730951,1,1
8,12,1.131370849898476,1,1
8,13,1.0886621079036347,1,1
8,14,1.0504514628777804,1,1
9,1,2.0,0,1
9,2,1.5491933384829668,0,1
9,3,1.3093073414159542,0,1
9,4,1.1547005383792515,0,1
9,5,1.044465935734187,0,1
9,6,0.9607689228305228,0,1
9,7,0.8944271909999159,0,1
9,8,0.8401680504168059,0,1
9,9,0.7947194142390263,0,1
9,10,0.7559289460184544,0,1
9,11,0.7223151185146152,0,1
9,12,0.6928203230275509,0,1
9,13,0.6666666666666666,0,1
9,14,0.6432675209026769,0,1
9,1,2.0,1,1
9,2,1.5491933384829668,1,1
9,3,1.3093073414159542,1,1
