subject,roi,eccentricity_range,eccentricity_mean,frequency_class,psf,side
1,2,"(1.5, 2.5)",2.0,1,16.0,0
1,2,"(1.5, 2.5)",2.0,2,3.0,0
1,2,"(1.5, 2.5)",2.0,3,7.7782,0
1,2,"(1.5, 2.5)",2.0,4,45.2548,0
1,2,"(2.5, 3.5)",3.0,1,10.6667,0
1,2,"(2.5, 3.5)",3.0,2,7.6667,0
1,2,"(2.5, 3.5)",3.0,3,7.5425,0
1,2,"(2.5, 3.5)",3.0,4,7.5425,0
1,2,"(3.5, 4.5)",4.0,1,8.0,0
1,2,"(3.5, 4.5)",4.0,2,5.75,0
1,2,"(3.5, 4.5)",4.0,3,5.6569,0
1,2,"(3.5, 4.5)",4.0,4,8.1317,0
1,2,"(4.5, 5.5)",5.0,1,9.0,0
1,2,"(4.5, 5.5)",5.0,2,4.6,0
1,2,"(4.5, 5.5)",5.0,3,4.5255,0
1,2,"(4.5, 5.5)",5.0,4,12.7279,0
1,2,"(5.5, 6.5)",6.0,1,5.3333,0
1,2,"(5.5, 6.5)",6.0,2,7.5,0
1,2,"(5.5, 6.5)",6.0,3,3.7712,0
1,2,"(5.5, 6.5)",6.0,4,10.6066,0
1,2,"(6.5, 7.5)",7.0,1,4.5714,0
1,2,"(6.5, 7.5)",7.0,2,6.4286,0
1,2,"(6.5, 7.5)",7.0,3,9.0914,0
1,2,"(6.5, 7.5)",7.0,4,12.93,0
1,2,"(7.5, 8.5)",8.0,1,4.0,0
1,2,"(7.5, 8.5)",8.0,2,5.625,0
1,2,"(7.5, 8.5)",8.0,3,7.955,0
1,2,"(7.5, 8.5)",8.0,4,11.3137,0
1,2,"(8.5, 9.5)",9.0,1,3.5556,0
1,2,"(8.5, 9.5)",9.0,2,5.0,0
1,2,"(8.5, 9.5)",9.0,3,7.0711,0
1,2,"(8.5, 9.5)",9.0,4,10.0566,0
1,2,"(9.5, 10.5)",10.0,1,3.2,0
1,2,"(9.5, 10.5)",10.0,2,4.5,0
1,2,"(9.5, 10.5)",10.0,3,6.364,0
1,2,"(9.5, 10.5)",10.0,4,9.051,0
1,2,"(10.5, 11.5)",11.0,1,2.9091,0
1,2,"(10.5, 11.5)",11.0,2,4.0909,0
1,2,"(10.5, 11.5)",11.0,3,5.7854,0
1,2,"(10.5, 11.5)",11.0,4,8.2282,0
1,2,"(11.5, 12.5)",12.0,1,2.6667,0
1,2,"(11.5, 12.5)",12.0,2,3.75,0
1,2,"(11.5, 12.5)",12.0,3,5.3033,0
1,2,"(11.5, 12.5)",12.0,4,7.5425,0
1,2,"(12.5, 13.5)",13.0,1,2.4615,0
1,2,"(12.5, 13.5)",13.0,2,3.4615,0
1,2,"(12.5, 13.5)",13.0,3,4.8954,0
1,2,"(12.5, 13.5)",13.0,4,6.9623,0
1,2,"(13.5, 14.5)",14.0,1,2.2857,0
1,2,"(13.5, 14.5)",14.0,2,3.2143,0
1,2,"(13.5, 14.5)",14.0,3,4.5457,0
1,2,"(13.5, 14.5)",14.0,4,4.5457,0
1,2,"(14.5, 15.5)",15.0,1,2.1333,0
1,2,"(14.5, 15.5)",15.0,2,1.5333,0
1,2,"(14.5, 15.5)",15.0,3,4.2426,0
1,2,"(14.5, 15.5)",15.0,4,4.2426,0
1,2,"(15.5, 16.5)",16.0,1,2.0,0
1,2,"(15.5, 16.5)",16.0,2,1.4375,0
1,2,"(15.5, 16.5)",16.0,3,3.9775,0
1,2,"(15.5, 16.5)",16.0,4,3.9775,0
1,2,"(16.5, 17.5)",17.0,1,1.8824,0
1,2,"(16.5, 17.5)",17.0,2,1.3529,0
1,2,"(16.5, 17.5)",17.0,3,3.7435,0
1,2,"(16.5, 17.5)",17.0,4,5.3241,0
1,2,"(17.5, 18.5)",18.0,1,7.1111,0
1,2,"(17.5, 18.5)",18.0,2,2.5,0
1,2,"(17.5, 18.5)",18.0,3,3.5355,0
1,2,"(17.5, 18.5)",18.0,4,5.0283,0
1,2,"(18.5, 19.5)",19.0,1,6.7368,0
1,2,"(18.5, 19.5)",19.0,2,2.3684,0
1,2,"(18.5, 19.5)",19.0,3,3.3495,0
1,2,"(18.5, 19.5)",19.0,4,4.7637,0
1,2,"(19.5, 20.5)",20.0,1,1.6,0
1,2,"(19.5, 20.5)",20.0,2,2.25,0
1,2,"(19.5, 20.5)",20.0,3,3.182,0
1,2,"(19.5, 20.5)",20.0,4,4.5255,0
1,2,"(20.5, 21.5)",21.0,1,1.5238,0
1,2,"(20.5, 21.5)",21.0,2,2.1429,0
1,2,"(20.5, 21.5)",21.0,3,6.1283,0
1,2,"(20.5, 21.5)",21.0,4,4.31,0
1,2,"(21.5, 22.5)",22.0,1,1.4545,0
1,2,"(21.5, 22.5)",22.0,2,2.0455,0
1,2,"(21.5, 22.5)",22.0,3,2.8927,0
1,2,"(21.5, 22.5)",22.0,4,4.1141,0
1,2,"(22.5, 23.5)",23.0,1,5.5652,0
1,2,"(22.5, 23.5)",23.0,2,2.7826,0
1,2,"(22.5, 23.5)",23.0,3,3.9352,0
1,2,"(22.5, 23.5)",23.0,4,3.9352,0
1,2,"(23.5, 24.5)",24.0,1,0.4583,0
1,2,"(23.5, 24.5)",24.0,2,1.875,0
1,2,"(23.5, 24.5)",24.0,3,3.7712,0
1,2,"(23.5, 24.5)",24.0,4,5.3622,0
1,3,"(1.5, 2.5)",2.0,1,5.5,0
1,3,"(1.5, 2.5)",2.0,2,5.5,0
1,3,"(1.5, 2.5)",2.0,3,7.7782,0
1,3,"(1.5, 2.5)",2.0,4,4.2426,0
1,3,"(2.5, 3.5)",3.0,1,42.6667,0
1,3,"(2.5, 3.5)",3.0,2,7.6667,0
1,3,"(2.5, 3.5)",3.0,3,7.5425,0
1,3,"(2.5, 3.5)",3.0,4,5.1854,0
1,3,"(3.5, 4.5)",4.0,1,11.25,0
1,3,"(3.5, 4.5)",4.0,2,5.75,0
