,roi,side,eccen,subject,preferred_period,sigma
36,1,1,4.5,2,0.9803923376376524,2.731523726745085
37,1,1,5.5,2,1.1750801110251048,3.721657580988748
38,1,1,6.5,2,1.4678506199501942,4.455058858471532
39,1,1,7.5,2,1.6793092170335764,4.786512168137343
40,1,1,8.5,2,2.0080776919625896,4.275870816111564
41,1,1,9.5,2,2.017570480685158,2.5018808065077005
42,1,1,10.5,2,1.8268535003932915,1.3155772326484558
43,1,1,11.5,2,1.6022658506418714,0.9018343286413066
44,1,0,1.5,3,0.3502591824945054,0.5595945113944629
45,1,0,2.5,3,0.5474999500455688,0.8128267554793416
46,1,0,3.5,3,0.6182035656234572,1.127999719764505
47,1,0,4.5,3,0.5569474752249178,1.4788866000305307
48,1,0,5.5,3,0.6086184000597378,1.4088712407343358
49,1,0,6.5,3,0.6931277547473186,1.0089163185022345
50,1,0,7.5,3,0.8769851182085523,1.161855791070882
51,1,0,8.5,3,0.9018010484339838,1.2274338448047637
52,1,0,9.5,3,1.2415714277232628,1.1352454415921651
53,1,0,10.5,3,1.348960666056151,1.3879718670867525
54,1,0,11.5,3,1.3767043115042832,1.223488952534703
55,1,1,1.5,3,16.62072829145349,1.2579415483196927
56,1,1,2.5,3,0.665662670678953,1.177642429475304
57,1,1,3.5,3,0.6171976047755721,0.9301070105284452
58,1,1,4.5,3,0.695449882463856,1.1985076664184982
59,1,1,5.5,3,0.7094280319855284,1.029178592813226
60,1,1,6.5,3,0.7426062119247929,0.9939974058264246
61,1,1,7.5,3,1.0302364212616717,1.0697456978311477
62,1,1,8.5,3,1.261623434838767,1.3953289828496054
63,1,1,9.5,3,1.327102133729563,1.637892026371426
64,1,1,10.5,3,1.1926714959862004,1.3187913608255115
65,1,1,11.5,3,1.2907420577670978,1.304096567754944
66,1,0,1.5,4,0.3656792610040674,0.355010046060584
67,1,0,2.5,4,0.5180274240690923,1.001125812481339
68,1,0,3.5,4,0.6470912115575433,1.4289123234057342
69,1,0,4.5,4,0.8373183691853645,1.7490772503417926
70,1,0,5.5,4,1.0105277723525437,1.8285485574240172
71,1,0,6.5,4,1.2065020567468925,1.7861594062762198
72,1,0,7.5,4,1.4124798678208637,1.7146315854394212
73,1,0,8.5,4,1.5804789376303654,1.7315343621722812
74,1,0,9.5,4,1.6972730889532928,1.6711040476903969
75,1,0,10.5,4,2.0780622319353474,1.282297493028107
76,1,0,11.5,4,2.3620725938774725,0.8879878333234411
77,1,1,1.5,4,0.3018238113455958,0.3463176245833265
78,1,1,2.5,4,0.4021741951702972,0.8597282081748705
79,1,1,3.5,4,0.581415782147072,1.274650099453422
80,1,1,4.5,4,0.734523856117317,1.329097804742131
81,1,1,5.5,4,0.897677404151713,1.5219052951455616
82,1,1,6.5,4,1.0587590987443185,1.810001443653572
83,1,1,7.5,4,1.1996442408514845,1.9407254529788212
84,1,1,8.5,4,1.4040833175544307,1.849402870129173
85,1,1,9.5,4,1.5423754131640002,1.1001582977613569
86,1,1,10.5,4,1.758122446431894,1.164442857539435
87,1,1,11.5,4,1.979579069560012,1.221252550659454
88,1,0,1.5,5,0.2909897830747697,0.4654347254963946
89,1,0,2.5,5,0.4173136522546065,1.0501761685420827
90,1,0,3.5,5,0.5752259167257672,1.7607845945249905
91,1,0,4.5,5,0.6145813292760014,2.1039378797658816
92,1,0,5.5,5,0.6979923440206448,2.375801607138581
93,1,0,6.5,5,0.7591859699229466,2.3541175273471864
94,1,0,7.5,5,0.8400728531520376,2.6540234150030675
95,1,0,8.5,5,0.974158240009643,2.708922636417942
96,1,0,9.5,5,1.0454562305389026,2.455210514473064
97,1,0,10.5,5,1.188844857978593,2.56074928243955
98,1,0,11.5,5,1.366626686541376,2.720853160738945
99,1,1,1.5,5,0.3967485340088341,0.3417414469355737
