voxel,eccen,stimulus_superclass,preferred_period,tuning_curve_bandwidth,inf_warning,side,subj,varea,angle,gml_r2,sigma
30,2.71874690055847,reverse spiral,0.359728801344682,6.13722730471499,False,0,1,10,4.94016402183407,23.491657,8.67147445678711
31,2.87530446052551,angular,0.380948096395688,9.26322593233981,False,0,1,10,4.99020120680443,14.071637,8.1587438583374
31,2.87530446052551,forward spiral,0.365130552713251,13.9102318371973,False,0,1,10,4.99020120680443,14.071637,8.1587438583374
31,2.87530446052551,radial,0.245912222331815,6.88922964098803,False,0,1,10,4.99020120680443,14.071637,8.1587438583374
31,2.87530446052551,reverse spiral,0.384277852721986,5.37322388432851,False,0,1,10,4.99020120680443,14.071637,8.1587438583374
32,3.08842873573303,angular,0.358129881843229,6.81023483568399,False,0,1,10,5.01309259104653,7.760763,8.4314546585083
32,3.08842873573303,forward spiral,0.498610449611707,9.46522536250863,False,0,1,10,5.01309259104653,7.760763,8.4314546585083
32,3.08842873573303,radial,0.220228936791514,6.17922886032816,False,0,1,10,5.01309259104653,7.760763,8.4314546585083
32,3.08842873573303,reverse spiral,0.427467272283571,4.83021955543434,False,0,1,10,5.01309259104653,7.760763,8.4314546585083
33,5.10889625549316,angular,1.3494716130985,8.29022406010973,False,0,1,10,5.71815433634335,9.306044,6.27959060668945
33,5.10889625549316,forward spiral,2.18391321078098,7.42323197599925,False,0,1,10,5.71815433634335,9.306044,6.27959060668945
33,5.10889625549316,radial,2.43528137064794,6.62722852512156,False,0,1,10,5.71815433634335,9.306044,6.27959060668945
33,5.10889625549316,reverse spiral,3.81254191883784,9.09222730568264,False,0,1,10,5.71815433634335,9.306044,6.27959060668945
34,6.07463026046753,angular,3.13432253712724,11.3812322700463,False,0,1,10,5.72788965486619,16.92381,7.62612104415894
34,6.07463026046753,forward spiral,7.2573463330127,14.0142335705595,False,0,1,10,5.72788965486619,16.92381,7.62612104415894
34,6.07463026046753,radial,3.29490015561212,8.23422872857579,False,0,1,10,5.72788965486619,16.92381,7.62612104415894
35,7.17712020874023,angular,5.84185002487799,11.022234515628,False,0,1,10,5.82434741875707,19.513601,9.33077430725098
35,7.17712020874023,radial,3.12963476351215,9.08923305725788,False,0,1,10,5.82434741875707,19.513601,9.33077430725098
36,9.14072799682617,angular,5.00465980393492,5.77623104924197,False,0,1,10,6.06197209491908,7.5473547,11.3192501068115
36,9.14072799682617,forward spiral,28.646188406927,23.5482331508233,False,0,1,10,6.06197209491908,7.5473547,11.3192501068115
36,9.14072799682617,radial,1.93765292538593,5.88822647024886,False,0,1,10,6.06197209491908,7.5473547,11.3192501068115
38,2.00801873207092,angular,2.75957748199107,18.0362342368083,False,0,1,10,4.97427225775818,32.58121,10.4027824401855
38,2.00801873207092,forward spiral,0.713552146017209,23.5482331508233,False,0,1,10,4.97427225775818,32.58121,10.4027824401855
38,2.00801873207092,radial,0.412597769960758,7.42422497651444,False,0,1,10,4.97427225775818,32.58121,10.4027824401855
38,2.00801873207092,reverse spiral,0.33070027278216,8.21022806189061,False,0,1,10,4.97427225775818,32.58121,10.4027824401855
39,2.37274599075317,angular,1.35272968137836,16.0412324816302,False,0,1,10,4.96967708981054,29.289955,9.89178371429443
39,2.37274599075317,forward spiral,0.351357891019753,23.5472331409222,False,0,1,10,4.96967708981054,29.289955,9.89178371429443
39,2.37274599075317,radial,0.380572501930633,7.73222741845349,False,0,1,10,4.96967708981054,29.289955,9.89178371429443
39,2.37274599075317,reverse spiral,0.341871552865549,7.1122294267557,False,0,1,10,4.96967708981054,29.289955,9.89178371429443
40,2.67313480377197,angular,0.648136504804738,11.8442322398478,False,0,1,10,5.01073635927208,21.488083,8.5941915512085
40,2.67313480377197,forward spiral,0.219079195992714,23.5482331508233,False,0,1,10,5.01073635927208,21.488083,8.5941915512085
40,2.67313480377197,radial,0.323601881445204,7.0532275234685,False,0,1,10,5.01073635927208,21.488083,8.5941915512085
40,2.67313480377197,reverse spiral,0.3674337310667,5.97922145264639,False,0,1,10,5.01073635927208,21.488083,8.5941915512085
41,1.69649016857147,forward spiral,1.09932222160842,13.5112329522923,False,0,1,10,4.9561653589277,33.35954,11.182502746582
41,1.69649016857147,radial,0.423144866644461,6.63322873202524,False,0,1,10,4.9561653589277,33.35954,11.182502746582
41,1.69649016857147,reverse spiral,0.602586537406749,10.3532300717794,False,0,1,10,4.9561653589277,33.35954,11.182502746582
42,1.84668207168579,angular,8.49337538373158,21.2702311981652,False,0,1,10,4.93062144959512,36.177452,10.6670789718628
42,1.84668207168579,forward spiral,1.8584284908208,23.5482331508233,False,0,1,10,4.93062144959512,36.177452,10.6670789718628
42,1.84668207168579,radial,0.435429295181033,7.11022936223749,False,0,1,10,4.93062144959512,36.177452,10.6670789718628
42,1.84668207168579,reverse spiral,0.417628245348824,8.6062264796442,False,0,1,10,4.93062144959512,36.177452,10.6670789718628
43,2.03980994224548,angular,2.46979922821752,18.9642341263472,False,0,1,10,4.88956773948236,35.572834,10.573296546936
43,2.03980994224548,forward spiral,0.614593557041897,23.5482331508233,False,0,1,10,4.88956773948236,35.572834,10.573296546936
43,2.03980994224548,radial,0.401359764067171,7.84923085973117,False,0,1,10,4.88956773948236,35.572834,10.573296546936
43,2.03980994224548,reverse spiral,0.352757562323531,7.6332313100397,False,0,1,10,4.88956773948236,35.572834,10.573296546936
44,1.56088066101074,angular,7.47439156197404,18.0792317850229,False,0,1,10,4.92759819583615,27.235859,11.2891063690186
44,1.56088066101074,forward spiral,0.855133708895232,9.43123003000073,False,0,1,10,4.92759819583615,27.235859,11.2891063690186
