voxel,eccen,stimulus_superclass,preferred_period,tuning_curve_bandwidth,inf_warning,side,subj,varea,angle,gml_r2,sigma
0,6.97359085083008,angular,0.000488281250001264,20.5152331276492,False,0,1,6,5.17201350001419,7.8315916,8.4022102355957
0,6.97359085083008,forward spiral,0.799224919287282,5.16122440106092,False,0,1,6,5.17201350001419,7.8315916,8.4022102355957
0,6.97359085083008,radial,0.00048828125012988,14.5832352134712,False,0,1,6,5.17201350001419,7.8315916,8.4022102355957
0,6.97359085083008,reverse spiral,0.000488281250002324,16.3092329890427,False,0,1,6,5.17201350001419,7.8315916,8.4022102355957
1,6.22510290145874,angular,0.000488281250002498,22.9552342370841,False,0,1,6,5.30468472867088,4.963952,8.36501121520996
1,6.22510290145874,forward spiral,1.59435402010913,2.77521347795984,False,0,1,6,5.30468472867088,4.963952,8.36501121520996
1,6.22510290145874,radial,0.000488281250000048,16.1632309032986,False,0,1,6,5.30468472867088,4.963952,8.36501121520996
1,6.22510290145874,reverse spiral,0.000488281250028107,14.3572315682511,False,0,1,6,5.30468472867088,4.963952,8.36501121520996
2,6.02436351776123,angular,0.481995029836161,23.5482331508233,False,0,1,6,5.58648911678843,3.9941013,8.62608814239502
2,6.02436351776123,forward spiral,1.67786808376202,1.84220468940993,False,0,1,6,5.58648911678843,3.9941013,8.62608814239502
2,6.02436351776123,radial,0.000488281250002893,20.7672307470083,False,0,1,6,5.58648911678843,3.9941013,8.62608814239502
2,6.02436351776123,reverse spiral,0.000488281250001252,14.1672285036855,False,0,1,6,5.58648911678843,3.9941013,8.62608814239502
3,5.68987083435059,angular,0.000488281250119949,19.5192323718139,False,0,1,6,5.08043131828897,4.5125065,7.1467866897583
3,5.68987083435059,forward spiral,1.65610222657596,3.0422173012358,False,0,1,6,5.08043131828897,4.5125065,7.1467866897583
3,5.68987083435059,radial,0.000488281250003888,17.3052338545115,False,0,1,6,5.08043131828897,4.5125065,7.1467866897583
3,5.68987083435059,reverse spiral,0.000488281250001774,20.3712314912669,False,0,1,6,5.08043131828897,4.5125065,7.1467866897583
4,5.65168952941895,angular,0.00914644490529815,23.5482331508233,False,0,1,6,5.31423182828368,4.1942477,8.10039806365967
4,5.65168952941895,forward spiral,1.66621974403939,2.05420542054205,False,0,1,6,5.31423182828368,4.1942477,8.10039806365967
4,5.65168952941895,radial,0.000488281250000103,21.2252307090294,False,0,1,6,5.31423182828368,4.1942477,8.10039806365967
4,5.65168952941895,reverse spiral,0.000488281250001152,18.2552340414621,False,0,1,6,5.31423182828368,4.1942477,8.10039806365967
5,4.9483847618103,angular,0.00048828125004824,22.4372337211846,False,0,1,6,5.20822306990691,3.9690971,7.42620086669922
5,4.9483847618103,forward spiral,1.5645839740941,2.38821711064642,False,0,1,6,5.20822306990691,3.9690971,7.42620086669922
5,4.9483847618103,radial,0.000488281250098287,22.2292315544954,False,0,1,6,5.20822306990691,3.9690971,7.42620086669922
5,4.9483847618103,reverse spiral,0.000488281250158429,22.195231200325,False,0,1,6,5.20822306990691,3.9690971,7.42620086669922
6,4.55242204666138,angular,0.000488281250068761,23.1832318323183,False,0,1,6,5.15675365354706,6.0357213,7.24381256103516
6,4.55242204666138,forward spiral,1.12540000651452,3.35622374824988,False,0,1,6,5.15675365354706,6.0357213,7.24381256103516
6,4.55242204666138,radial,0.000488281250031408,19.8132303863998,False,0,1,6,5.15675365354706,6.0357213,7.24381256103516
6,4.55242204666138,reverse spiral,0.000488281250000695,19.3672305622686,False,0,1,6,5.15675365354706,6.0357213,7.24381256103516
7,3.51932597160339,angular,0.477892448868511,4.95222510114096,False,0,1,6,4.81456776357403,4.584712,5.93751668930054
7,3.51932597160339,forward spiral,0.00432548202836838,11.0592304006333,False,0,1,6,4.81456776357403,4.584712,5.93751668930054
7,3.51932597160339,radial,0.000488281250282361,16.5032292115168,False,0,1,6,4.81456776357403,4.584712,5.93751668930054
7,3.51932597160339,reverse spiral,0.00048828125,16.8052334060195,False,0,1,6,4.81456776357403,4.584712,5.93751668930054
8,9.87069416046143,angular,0.123865229249994,12.6962351154651,False,0,1,6,4.96259329769277,10.091477,9.82798957824707
